source,t_sec,band_c,n,med_spread,p25_spread,med_top3_bid,p25_top3_bid,med_top3_ask,p25_top3_ask
census,0,26,1,0.25,0.25,132.5,132.5,600.7,600.7
census,0,34,1,0.01,0.01,1213.0,1213.0,858.7,858.7
census,0,36,3,0.01,0.01,1245.0,944.1,3241.0,2604.9
census,0,38,12,0.02,0.01,667.0,404.7,1214.0,889.1
census,0,40,31,0.01,0.01,278.7,159.8,799.4,452.9
census,0,42,85,0.02,0.01,243.7,99.5,930.8,440.4
census,0,44,180,0.01,0.01,330.9,151.0,955.4,318.0
census,0,46,256,0.01,0.01,414.9,197.3,712.1,292.8
census,0,48,387,0.01,0.01,379.3,191.9,468.9,209.0
census,0,50,419,0.01,0.01,551.3,244.6,432.9,191.6
census,0,52,260,0.01,0.01,749.1,285.7,493.3,206.8
census,0,54,214,0.01,0.01,740.0,308.3,352.5,148.3
census,0,56,101,0.02,0.01,1119.9,385.9,260.2,116.1
census,0,58,21,0.02,0.01,884.8,570.6,333.8,139.0
census,0,60,7,0.06,0.03,1625.5,911.4,313.6,107.3
census,0,62,2,0.06,0.045,2766.2,1669.6,541.3,333.3
census,0,64,2,0.025,0.0175,763.0,735.6,1601.2,1171.2
census,0,66,1,0.25,0.25,729.9,729.9,235.0,235.0
census,0,70,1,0.4,0.4,137.0,137.0,6165.4,6165.4
census,0,84,1,0.08,0.08,1088.6,1088.6,745.8,745.8
census,15,20,1,0.01,0.01,1872.2,1872.2,986.3,986.3
census,15,22,1,0.05,0.05,111.5,111.5,125.1,125.1
census,15,26,1,0.08,0.08,39.4,39.4,90.0,90.0
census,15,28,3,0.01,0.01,461.5,276.8,343.9,230.6
census,15,30,1,0.01,0.01,339.0,339.0,535.1,535.1
census,15,32,11,0.02,0.01,474.5,315.5,655.6,362.5
census,15,34,14,0.01,0.01,622.1,268.9,723.3,287.7
census,15,36,28,0.01,0.01,754.1,448.0,579.1,332.1
census,15,38,41,0.01,0.01,812.0,401.3,644.1,459.0
census,15,40,78,0.01,0.01,615.9,292.6,766.4,365.7
census,15,42,124,0.01,0.01,819.5,384.3,855.8,309.9
census,15,44,159,0.01,0.01,832.5,391.6,1136.1,619.8
census,15,46,226,0.01,0.01,873.8,346.0,1265.1,509.5
census,15,48,284,0.01,0.01,946.5,484.7,1039.3,462.3
census,15,50,323,0.01,0.01,1060.8,568.1,827.2,367.5
census,15,52,210,0.01,0.01,976.3,469.3,654.6,271.6
census,15,54,173,0.01,0.01,976.5,394.8,682.5,327.1
census,15,56,137,0.01,0.01,1118.0,355.8,827.9,374.7
census,15,58,65,0.01,0.01,714.1,300.0,646.4,293.9
census,15,60,48,0.01,0.01,866.6,396.5,756.3,341.8
census,15,62,23,0.01,0.01,550.4,277.7,721.9,180.5
census,15,64,16,0.01,0.01,628.9,288.2,648.8,307.6
census,15,66,5,0.02,0.01,247.3,159.3,153.6,118.1
census,15,68,6,0.03,0.0125,320.0,120.0,582.1,147.7
census,15,70,3,0.01,0.01,1190.0,919.5,908.7,853.3
census,15,72,2,0.01,0.01,495.2,446.3,1552.0,949.3
census,15,74,1,0.01,0.01,208.5,208.5,1281.6,1281.6
census,15,78,2,0.025,0.0175,671.4,391.6,272.0,193.5
census,15,80,1,0.01,0.01,730.4,730.4,406.6,406.6
census,15,84,1,0.02,0.02,601.9,601.9,1384.7,1384.7
census,30,16,2,0.01,0.01,587.0,377.1,762.1,494.7
census,30,22,2,0.015,0.0125,2733.4,2156.2,963.7,901.1
census,30,24,3,0.01,0.01,1079.6,582.5,1636.7,924.5
census,30,26,3,0.01,0.01,734.3,387.5,719.0,377.9
census,30,28,7,0.02,0.015,290.7,172.3,231.2,127.1
census,30,30,17,0.01,0.01,523.0,390.0,368.0,160.7
census,30,32,23,0.01,0.01,616.7,347.6,666.8,288.7
census,30,34,18,0.01,0.01,425.5,208.1,532.4,241.4
census,30,36,50,0.01,0.01,1143.5,606.7,1031.6,584.9
census,30,38,59,0.01,0.01,926.5,419.5,822.7,334.9
census,30,40,100,0.01,0.01,858.8,359.5,941.1,488.9
census,30,42,138,0.01,0.01,584.9,346.5,912.7,362.9
census,30,44,153,0.01,0.01,842.9,414.3,1107.7,536.6
census,30,46,197,0.01,0.01,928.4,481.0,1074.9,580.9
census,30,48,194,0.01,0.01,1138.3,523.3,1088.3,564.1
census,30,50,238,0.01,0.01,1261.6,491.2,1070.4,413.8
census,30,52,181,0.01,0.01,1045.5,476.6,965.3,340.6
census,30,54,164,0.01,0.01,1106.7,572.4,853.6,487.3
census,30,56,124,0.01,0.01,733.0,374.0,622.4,297.6
census,30,58,98,0.01,0.01,963.0,416.8,833.9,356.4
census,30,60,89,0.01,0.01,859.8,448.6,723.1,303.5
census,30,62,43,0.01,0.01,974.8,479.4,919.6,259.8
census,30,64,34,0.01,0.01,609.6,401.5,838.8,299.5
census,30,66,21,0.01,0.01,817.0,558.3,664.6,495.0
census,30,68,9,0.01,0.01,799.9,489.6,1217.7,813.2
census,30,70,3,0.01,0.01,559.4,480.2,748.6,437.5
census,30,72,6,0.01,0.01,422.5,337.0,844.1,106.1
census,30,74,6,0.01,0.01,483.6,118.1,397.7,180.1
census,30,76,1,0.01,0.01,6210.4,6210.4,3175.2,3175.2
census,30,78,2,0.01,0.01,1176.0,1086.8,965.2,730.0
census,30,80,1,0.01,0.01,1696.9,1696.9,1070.0,1070.0
census,30,82,1,0.04,0.04,1793.4,1793.4,1668.0,1668.0
census,30,84,1,0.01,0.01,651.4,651.4,207.2,207.2
census,45,16,2,0.01,0.01,1133.5,904.9,772.9,748.0
census,45,18,1,0.01,0.01,1396.0,1396.0,633.2,633.2
census,45,20,4,0.01,0.01,206.9,172.4,329.1,239.2
census,45,22,3,0.01,0.01,2064.1,1212.6,811.1,453.1
census,45,24,7,0.01,0.01,2507.9,746.4,732.0,677.6
census,45,26,8,0.01,0.01,1147.1,612.7,980.3,543.9
census,45,28,14,0.02,0.01,334.5,166.5,266.7,79.9
census,45,30,23,0.01,0.01,893.6,437.3,810.6,450.4
census,45,32,38,0.01,0.01,917.4,451.4,615.0,407.4
census,45,34,49,0.01,0.01,512.2,219.8,979.5,368.9
census,45,36,45,0.01,0.01,774.0,352.5,959.7,387.0
census,45,38,78,0.01,0.01,1052.0,548.1,939.3,630.6
census,45,40,103,0.01,0.01,705.4,303.4,788.0,379.0
census,45,42,123,0.01,0.01,847.1,423.2,722.0,290.8
census,45,44,149,0.01,0.01,804.1,402.0,1144.8,550.0
census,45,46,168,0.01,0.01,909.6,506.1,1177.3,567.8
census,45,48,155,0.01,0.01,1066.0,510.5,1116.0,479.5
census,45,50,215,0.01,0.01,1386.2,695.5,1253.0,437.0
census,45,52,149,0.01,0.01,950.1,396.8,770.3,320.7
census,45,54,113,0.01,0.01,1061.3,550.0,875.0,391.0
census,45,56,148,0.01,0.01,881.9,394.3,1002.0,462.2
census,45,58,101,0.01,0.01,932.4,421.8,904.2,499.6
census,45,60,78,0.01,0.01,685.3,316.1,787.9,314.8
census,45,62,67,0.01,0.01,805.0,403.0,817.9,548.2
census,45,64,44,0.01,0.01,800.3,393.7,1022.9,381.1
census,45,66,38,0.01,0.01,687.9,456.9,1109.4,785.6
census,45,68,20,0.01,0.01,764.8,485.3,1017.8,263.9
census,45,70,16,0.01,0.01,876.5,604.2,865.5,382.8
census,45,72,12,0.01,0.01,1045.7,417.5,813.0,533.7
census,45,74,5,0.01,0.01,324.5,290.0,337.8,199.3
census,45,76,1,0.01,0.01,1565.0,1565.0,427.6,427.6
census,45,78,6,0.01,0.01,768.3,572.0,1198.5,858.9
census,45,80,2,0.01,0.01,1999.2,1749.1,1419.1,1233.1
census,45,82,2,0.01,0.01,411.6,294.7,462.8,409.6
census,45,86,1,0.01,0.01,214.2,214.2,399.0,399.0
census,60,14,1,0.01,0.01,1237.4,1237.4,553.0,553.0
census,60,16,6,0.01,0.01,821.9,534.8,646.6,534.7
census,60,18,1,0.01,0.01,2815.4,2815.4,2798.0,2798.0
census,60,20,5,0.01,0.01,876.4,676.0,413.4,274.8
census,60,22,10,0.01,0.01,732.7,404.8,666.5,582.5
census,60,24,7,0.01,0.01,499.7,137.0,281.8,150.2
census,60,26,15,0.01,0.01,1285.0,611.0,969.4,434.5
census,60,28,20,0.01,0.01,873.0,568.8,1352.1,448.1
census,60,30,30,0.01,0.01,848.5,541.0,736.8,365.7
census,60,32,40,0.01,0.01,691.8,389.9,731.7,492.9
census,60,34,60,0.01,0.01,829.8,436.0,913.9,355.6
census,60,36,67,0.01,0.01,892.7,422.6,925.5,424.2
census,60,38,79,0.01,0.01,855.7,402.1,984.6,657.6
census,60,40,98,0.01,0.01,767.1,315.2,768.5,481.6
census,60,42,126,0.01,0.01,897.9,473.8,873.1,391.9
census,60,44,144,0.01,0.01,957.5,438.7,1109.0,510.5
census,60,46,131,0.01,0.01,945.0,451.1,1250.3,635.2
census,60,48,141,0.01,0.01,1071.6,485.3,1048.6,424.8
census,60,50,182,0.01,0.01,1458.7,639.5,1252.5,487.6
census,60,52,142,0.01,0.01,936.4,457.2,807.1,418.5
census,60,54,113,0.01,0.01,1112.7,515.6,841.6,474.3
census,60,56,122,0.01,0.01,977.2,446.2,880.4,413.6
census,60,58,98,0.01,0.01,1008.4,547.3,928.3,590.8
census,60,60,92,0.01,0.01,868.1,515.9,670.0,340.3
census,60,62,68,0.01,0.01,844.4,515.4,895.5,494.2
census,60,64,60,0.01,0.01,882.5,381.4,851.9,367.1
census,60,66,30,0.01,0.01,661.3,429.3,940.0,556.3
census,60,68,34,0.01,0.01,1012.1,586.2,782.3,491.1
census,60,70,18,0.01,0.01,726.5,334.5,1230.4,632.5
census,60,72,20,0.01,0.01,871.7,302.7,782.3,368.3
census,60,74,11,0.01,0.01,1135.0,697.5,960.3,783.0
census,60,76,4,0.02,0.0175,579.7,559.6,542.2,408.2
census,60,78,6,0.01,0.01,454.7,357.3,763.6,548.8
census,60,80,3,0.01,0.01,1192.3,944.1,1257.5,981.1
census,60,82,3,0.01,0.01,775.7,624.5,2055.0,1195.4
census,60,84,1,0.01,0.01,712.8,712.8,486.5,486.5
census,60,86,1,0.01,0.01,282.9,282.9,497.1,497.1
census,75,10,1,0.01,0.01,1974.4,1974.4,243.0,243.0
census,75,12,2,0.01,0.01,861.6,662.3,1170.6,854.8
census,75,14,2,0.01,0.01,378.7,245.7,590.8,535.9
census,75,16,4,0.01,0.01,967.2,645.8,376.1,263.0
census,75,18,1,0.01,0.01,403.3,403.3,269.5,269.5
census,75,20,11,0.01,0.01,1036.0,610.4,820.2,510.8
census,75,22,14,0.01,0.01,744.6,529.1,574.3,285.0
census,75,24,27,0.01,0.01,920.0,647.0,835.0,621.1
census,75,26,22,0.01,0.01,723.0,321.9,1374.9,536.2
census,75,28,31,0.01,0.01,884.4,311.3,1018.2,413.9
census,75,30,36,0.01,0.01,854.4,240.5,746.4,404.7
census,75,32,38,0.01,0.01,1094.9,413.1,967.6,439.3
census,75,34,68,0.01,0.01,854.1,552.4,883.3,506.7
census,75,36,91,0.01,0.01,782.7,332.3,871.2,357.4
census,75,38,90,0.01,0.01,833.9,411.4,983.8,503.9
census,75,40,102,0.01,0.01,1048.1,421.4,856.5,405.7
census,75,42,107,0.01,0.01,1104.2,611.5,846.9,413.1
census,75,44,113,0.01,0.01,1060.6,498.1,1152.4,615.8
census,75,46,105,0.01,0.01,940.6,367.4,1015.1,467.0
census,75,48,128,0.01,0.01,1114.1,479.4,1021.5,632.2
census,75,50,148,0.01,0.01,1327.0,648.9,1185.4,521.9
census,75,52,132,0.01,0.01,868.1,448.3,806.7,408.4
census,75,54,99,0.01,0.01,886.4,489.7,1004.6,501.2
census,75,56,120,0.01,0.01,763.3,330.3,879.9,449.6
census,75,58,89,0.01,0.01,1049.8,496.5,857.7,474.1
census,75,60,75,0.01,0.01,1015.7,534.5,816.5,348.9
census,75,62,70,0.01,0.01,773.0,444.6,901.5,562.1
census,75,64,72,0.01,0.01,912.2,491.9,1006.3,570.5
census,75,66,49,0.01,0.01,847.5,506.7,1135.1,583.2
census,75,68,37,0.01,0.01,846.4,374.8,515.3,262.4
census,75,70,22,0.01,0.01,1050.6,555.9,1055.2,944.5
census,75,72,28,0.01,0.01,519.3,321.1,477.8,349.4
census,75,74,25,0.01,0.01,868.4,381.0,856.6,296.9
census,75,76,9,0.01,0.01,658.1,345.0,904.0,375.4
census,75,78,7,0.01,0.01,501.3,376.1,707.7,532.7
census,75,80,5,0.01,0.01,1166.2,657.8,983.9,422.7
census,75,82,3,0.02,0.015,1303.7,743.8,1116.8,1073.9
census,75,84,3,0.01,0.01,655.9,618.2,705.0,570.6
census,75,86,2,0.02,0.015,2088.9,1333.1,1592.1,1054.6
census,75,88,1,0.01,0.01,1542.4,1542.4,1673.1,1673.1
census,90,8,1,0.01,0.01,3421.5,3421.5,962.8,962.8
census,90,12,4,0.01,0.01,1484.9,1126.0,859.2,589.3
census,90,14,3,0.01,0.01,971.6,520.0,734.8,722.8
census,90,16,5,0.01,0.01,1802.7,1431.6,461.6,325.6
census,90,18,4,0.01,0.01,493.9,346.3,645.5,337.8
census,90,20,14,0.01,0.01,938.5,455.7,707.5,265.9
census,90,22,26,0.01,0.01,743.1,385.2,1264.1,531.3
census,90,24,27,0.01,0.01,1106.9,539.3,1065.4,388.5
census,90,26,32,0.01,0.01,985.5,608.6,645.2,396.9
census,90,28,35,0.01,0.01,714.0,400.0,801.4,308.3
census,90,30,47,0.01,0.01,752.5,468.2,780.0,544.8
census,90,32,50,0.01,0.01,1357.6,414.6,886.9,474.9
census,90,34,73,0.01,0.01,1016.2,612.0,741.3,526.5
census,90,36,76,0.01,0.01,980.6,547.0,814.4,557.6
census,90,38,93,0.01,0.01,703.7,454.7,785.0,385.0
census,90,40,88,0.01,0.01,974.1,426.3,823.6,477.4
census,90,42,96,0.01,0.01,905.9,409.5,824.2,398.4
census,90,44,95,0.01,0.01,957.5,478.1,1211.0,651.9
census,90,46,112,0.01,0.01,824.8,526.5,866.7,531.4
census,90,48,121,0.01,0.01,1445.8,640.0,1498.9,668.4
census,90,50,134,0.01,0.01,1389.5,615.8,1409.7,561.3
census,90,52,104,0.01,0.01,680.1,337.3,824.8,359.6
census,90,54,111,0.01,0.01,904.0,410.3,923.2,538.2
census,90,56,109,0.01,0.01,792.7,394.9,928.8,412.6
census,90,58,89,0.01,0.01,848.0,398.2,792.5,456.6
census,90,60,73,0.01,0.01,981.6,464.8,1111.5,429.5
census,90,62,73,0.01,0.01,931.8,462.9,837.0,500.8
census,90,64,61,0.01,0.01,824.3,488.7,761.3,398.0
census,90,66,64,0.01,0.01,976.1,583.0,1161.3,540.8
census,90,68,42,0.01,0.01,912.8,480.4,754.2,399.5
census,90,70,27,0.01,0.01,803.0,490.5,885.0,466.0
census,90,72,31,0.01,0.01,1108.8,580.1,1099.6,363.3
census,90,74,19,0.01,0.01,1193.3,636.5,978.5,358.4
census,90,76,22,0.01,0.01,890.0,607.2,806.7,577.7
census,90,78,6,0.02,0.0125,1579.1,1130.0,919.9,685.3
census,90,80,8,0.01,0.01,672.9,209.7,1341.6,1074.1
census,90,82,4,0.01,0.01,306.1,243.8,1052.4,712.2
census,90,84,6,0.01,0.01,274.8,145.4,639.9,465.0
census,90,86,2,0.01,0.01,1070.0,1029.7,1442.1,1358.5
census,90,88,1,0.01,0.01,887.6,887.6,2740.3,2740.3
census,90,90,1,0.01,0.01,1464.6,1464.6,3562.3,3562.3
census,105,6,1,0.01,0.01,3325.2,3325.2,1215.0,1215.0
census,105,8,1,0.01,0.01,2841.5,2841.5,500.0,500.0
census,105,10,2,0.01,0.01,2202.9,1585.0,1295.4,1183.5
census,105,14,9,0.01,0.01,1431.0,730.6,757.8,474.5
census,105,16,12,0.01,0.01,1342.1,499.9,1203.0,230.0
census,105,18,14,0.01,0.01,841.3,484.7,533.5,351.0
census,105,20,19,0.01,0.01,1066.9,316.8,803.8,161.1
census,105,22,19,0.01,0.01,959.3,378.8,608.4,307.9
census,105,24,23,0.01,0.01,1442.7,937.8,686.0,492.1
census,105,26,43,0.01,0.01,834.4,557.9,1290.9,507.8
census,105,28,47,0.01,0.01,760.0,390.9,1081.1,573.6
census,105,30,49,0.01,0.01,1087.1,476.8,782.9,475.3
census,105,32,54,0.01,0.01,886.7,411.8,780.5,287.5
census,105,34,72,0.01,0.01,1235.4,514.3,1200.4,531.5
census,105,36,74,0.01,0.01,956.0,453.3,709.6,380.0
census,105,38,94,0.01,0.01,867.2,511.6,818.2,500.8
census,105,40,85,0.01,0.01,968.0,364.4,854.4,333.6
census,105,42,93,0.01,0.01,824.7,393.3,1000.0,451.5
census,105,44,91,0.01,0.01,921.9,394.2,995.9,520.8
census,105,46,85,0.01,0.01,1204.8,619.3,1054.2,660.1
census,105,48,110,0.01,0.01,1149.3,607.3,1249.7,541.3
census,105,50,130,0.01,0.01,1339.2,743.2,1311.4,652.4
census,105,52,107,0.01,0.01,1282.0,612.9,921.0,449.5
census,105,54,81,0.01,0.01,833.5,439.0,809.7,327.8
census,105,56,106,0.01,0.01,767.9,411.5,796.5,463.5
census,105,58,92,0.01,0.01,1018.2,467.0,857.3,519.0
census,105,60,66,0.01,0.01,890.5,623.8,657.5,331.9
census,105,62,74,0.01,0.01,798.0,467.8,778.8,521.0
census,105,64,75,0.01,0.01,976.5,363.8,1008.5,455.4
census,105,66,50,0.01,0.01,1110.3,492.7,1218.1,569.2
census,105,68,49,0.01,0.01,793.8,460.6,902.5,570.0
census,105,70,38,0.01,0.01,748.8,481.0,727.4,342.0
census,105,72,31,0.01,0.01,620.0,291.5,669.2,301.1
census,105,74,26,0.01,0.01,1233.5,698.8,782.4,501.9
census,105,76,21,0.01,0.01,1430.7,940.3,912.8,544.9
census,105,78,20,0.01,0.01,1061.5,521.0,731.5,459.2
census,105,80,7,0.01,0.01,432.6,392.7,708.6,543.9
census,105,82,9,0.01,0.01,1236.6,638.3,839.4,626.2
census,105,84,4,0.01,0.01,1187.3,388.7,819.2,728.1
census,105,86,3,0.01,0.01,815.4,472.7,627.5,417.0
census,105,88,3,0.01,0.01,1714.6,1445.4,2168.7,1935.3
census,120,6,2,0.01,0.01,2466.0,2313.0,893.7,650.8
census,120,10,3,0.01,0.01,1968.6,1820.9,977.2,789.6
census,120,12,4,0.01,0.01,1246.7,1008.2,1299.5,1018.3
census,120,14,10,0.01,0.01,1695.0,605.6,783.2,396.5
census,120,16,10,0.01,0.01,990.1,700.0,760.2,603.4
census,120,18,16,0.01,0.01,1398.1,447.8,1602.7,590.9
census,120,20,24,0.01,0.01,1310.4,643.0,1014.6,663.8
census,120,22,19,0.01,0.01,985.7,488.7,859.1,381.4
census,120,24,35,0.01,0.01,973.4,550.0,696.9,323.0
census,120,26,47,0.01,0.01,955.7,452.3,883.9,476.6
census,120,28,43,0.01,0.01,951.6,597.8,925.8,632.4
census,120,30,56,0.01,0.01,900.9,482.5,920.6,472.4
census,120,32,62,0.01,0.01,1132.3,575.6,663.7,326.9
census,120,34,81,0.01,0.01,853.7,293.3,943.5,411.0
census,120,36,82,0.01,0.01,843.3,432.1,791.7,502.3
census,120,38,85,0.01,0.01,914.2,409.0,1059.2,488.2
census,120,40,66,0.01,0.01,718.9,340.3,907.5,496.6
census,120,42,88,0.01,0.01,900.4,395.6,698.0,373.2
census,120,44,82,0.01,0.01,851.9,388.4,924.8,408.2
census,120,46,100,0.01,0.01,1163.6,509.2,1151.1,590.4
census,120,48,93,0.01,0.01,1238.0,570.8,942.6,476.7
census,120,50,113,0.01,0.01,1369.0,647.4,1481.4,686.0
census,120,52,101,0.01,0.01,962.8,592.1,913.6,442.0
census,120,54,93,0.01,0.01,901.0,464.4,1015.0,467.7
census,120,56,100,0.01,0.01,874.8,340.6,869.4,415.2
census,120,58,77,0.01,0.01,1164.6,603.4,796.0,367.0
census,120,60,65,0.01,0.01,816.1,497.8,831.6,492.8
census,120,62,70,0.01,0.01,1048.0,576.0,765.2,414.9
census,120,64,62,0.01,0.01,1021.0,343.8,1121.8,666.3
census,120,66,55,0.01,0.01,970.2,549.8,656.0,406.7
census,120,68,50,0.01,0.01,1264.2,677.8,1194.0,717.5
census,120,70,37,0.01,0.01,794.7,306.4,572.7,432.5
census,120,72,48,0.01,0.01,714.6,335.1,734.5,337.4
census,120,74,22,0.01,0.01,1156.0,740.9,999.9,509.7
census,120,76,32,0.01,0.01,1103.2,757.3,1021.6,486.0
census,120,78,21,0.01,0.01,1239.9,712.5,1139.9,578.8
census,120,80,12,0.01,0.01,1803.7,1171.3,922.4,572.8
census,120,82,8,0.01,0.01,1677.6,813.9,1838.1,1204.3
census,120,84,7,0.01,0.01,603.3,346.6,562.5,472.8
census,120,86,4,0.01,0.01,1595.0,1376.7,2261.5,1410.1
census,120,88,4,0.01,0.01,517.8,400.2,2012.6,1403.1
census,135,4,1,0.01,0.01,4165.0,4165.0,640.2,640.2
census,135,6,1,0.02,0.02,697.8,697.8,667.0,667.0
census,135,8,5,0.01,0.01,1209.9,704.2,618.8,579.2
census,135,10,3,0.01,0.01,1434.7,1058.7,1224.3,643.3
census,135,12,10,0.01,0.01,1181.7,792.0,1101.0,488.9
census,135,14,11,0.01,0.01,1048.9,654.9,1518.8,842.9
census,135,16,17,0.01,0.01,622.7,366.0,869.2,456.0
census,135,18,18,0.01,0.01,988.1,789.7,910.0,526.0
census,135,20,28,0.01,0.01,1339.6,499.9,1000.2,508.4
census,135,22,26,0.01,0.01,824.7,543.2,831.9,526.1
census,135,24,30,0.01,0.01,919.3,456.9,1026.2,432.1
census,135,26,37,0.01,0.01,819.1,460.0,1024.5,405.0
census,135,28,58,0.01,0.01,1251.1,658.1,985.2,552.2
census,135,30,57,0.01,0.01,801.2,383.6,701.3,357.3
census,135,32,64,0.01,0.01,967.0,428.5,1376.5,380.1
census,135,34,68,0.01,0.01,933.9,403.2,739.0,304.8
census,135,36,72,0.01,0.01,937.2,384.4,797.9,446.9
census,135,38,89,0.01,0.01,857.9,496.6,1061.8,559.0
census,135,40,64,0.01,0.01,768.8,476.4,565.6,262.3
census,135,42,69,0.01,0.01,707.1,412.0,988.0,599.9
census,135,44,85,0.01,0.01,736.7,373.9,673.2,328.9
census,135,46,72,0.01,0.01,1052.1,426.7,822.1,499.2
census,135,48,102,0.01,0.01,1059.5,532.5,1109.5,572.0
census,135,50,125,0.01,0.01,1648.2,631.7,1220.5,656.8
census,135,52,75,0.01,0.01,866.1,408.1,704.5,518.4
census,135,54,98,0.01,0.01,909.0,460.5,747.4,386.9
census,135,56,97,0.01,0.01,981.1,528.0,795.0,362.8
census,135,58,71,0.01,0.01,911.0,426.6,880.0,419.6
census,135,60,67,0.01,0.01,901.7,470.8,635.6,371.7
census,135,62,63,0.01,0.01,1018.9,444.5,831.4,329.4
census,135,64,63,0.01,0.01,744.0,427.9,851.1,413.3
census,135,66,57,0.01,0.01,664.1,369.2,1015.6,377.9
census,135,68,60,0.01,0.01,987.7,665.8,932.4,522.0
census,135,70,48,0.01,0.01,1070.1,466.6,1145.1,494.3
census,135,72,37,0.01,0.01,1042.0,573.4,870.0,529.0
census,135,74,33,0.01,0.01,910.0,679.2,969.6,501.4
census,135,76,33,0.01,0.01,1255.5,605.9,1208.3,484.9
census,135,78,26,0.01,0.01,886.6,425.1,1039.0,507.4
census,135,80,11,0.01,0.01,601.9,473.1,964.2,857.6
census,135,82,15,0.01,0.01,1207.9,901.7,956.6,398.7
census,135,84,10,0.01,0.01,819.6,425.3,851.5,525.2
census,135,86,6,0.01,0.01,867.5,244.7,1240.8,571.8
census,135,88,4,0.01,0.01,1750.8,1328.4,2032.5,1447.9
census,135,90,3,0.01,0.01,2661.6,1720.2,1473.5,1387.6
census,135,94,1,0.01,0.01,1942.9,1942.9,2273.2,2273.2
census,150,4,2,0.02,0.015,14387.9,8441.3,560.2,467.9
census,150,6,2,0.01,0.01,3059.0,2411.1,1178.8,1019.5
census,150,8,2,0.01,0.01,1898.9,1846.4,1481.8,1234.4
census,150,10,7,0.01,0.01,1808.3,1143.6,1121.0,787.3
census,150,12,10,0.01,0.01,1003.5,698.0,693.0,413.8
census,150,14,14,0.01,0.01,1045.9,851.6,531.1,172.5
census,150,16,15,0.01,0.01,1566.2,704.2,1573.1,749.0
census,150,18,26,0.01,0.01,744.9,214.8,845.1,633.9
census,150,20,28,0.01,0.01,1508.6,734.2,1073.3,397.8
census,150,22,34,0.01,0.01,906.4,342.3,560.1,245.2
census,150,24,25,0.01,0.01,658.0,341.0,989.5,605.1
census,150,26,41,0.01,0.01,756.9,500.0,828.2,505.0
census,150,28,48,0.01,0.01,1003.8,584.7,903.7,448.6
census,150,30,62,0.01,0.01,1211.8,452.3,949.7,430.4
census,150,32,70,0.01,0.01,1032.3,629.3,1003.9,452.5
census,150,34,67,0.01,0.01,931.5,620.1,731.3,487.4
census,150,36,68,0.01,0.01,912.6,486.6,981.8,537.9
census,150,38,68,0.01,0.01,857.4,399.8,825.9,380.7
census,150,40,77,0.01,0.01,708.6,340.5,928.5,512.6
census,150,42,69,0.01,0.01,1175.0,545.2,1077.8,507.4
census,150,44,80,0.01,0.01,770.0,404.8,800.6,412.3
census,150,46,77,0.01,0.01,910.6,473.7,781.0,502.0
census,150,48,90,0.01,0.01,848.9,379.0,758.1,339.3
census,150,50,111,0.01,0.01,1518.4,663.5,1331.1,563.2
census,150,52,80,0.01,0.01,885.5,452.5,784.3,400.9
census,150,54,78,0.01,0.01,719.9,338.1,763.7,409.5
census,150,56,83,0.01,0.01,970.0,463.2,1002.5,502.7
census,150,58,78,0.01,0.01,797.0,481.5,688.6,400.2
census,150,60,76,0.01,0.01,838.2,414.1,705.8,370.3
census,150,62,65,0.01,0.01,1006.1,539.6,886.0,427.7
census,150,64,65,0.01,0.01,1037.1,505.4,962.6,423.8
census,150,66,57,0.01,0.01,982.0,385.0,901.6,393.5
census,150,68,57,0.01,0.01,784.0,468.2,1217.4,470.9
census,150,70,47,0.01,0.01,901.9,557.3,900.6,411.5
census,150,72,48,0.01,0.01,1031.0,543.2,1010.2,702.5
census,150,74,36,0.01,0.01,1172.9,547.5,1059.7,594.5
census,150,76,31,0.01,0.01,955.3,638.4,1122.6,440.2
census,150,78,27,0.01,0.01,851.4,563.2,1270.1,505.4
census,150,80,22,0.01,0.01,832.7,381.2,1213.3,575.3
census,150,82,13,0.01,0.01,892.5,564.8,546.2,164.5
census,150,84,15,0.01,0.01,1165.5,562.0,1286.0,731.8
census,150,86,7,0.01,0.01,1595.0,465.1,1400.1,1084.6
census,150,88,5,0.01,0.01,1042.8,786.0,1648.7,1601.8
census,150,90,4,0.01,0.01,1119.5,835.7,988.5,841.6
census,150,92,2,0.01,0.01,3669.2,2539.5,3834.8,2297.2
census,150,94,1,0.01,0.01,459.7,459.7,1881.1,1881.1
census,165,4,1,0.01,0.01,1913.3,1913.3,1198.1,1198.1
census,165,6,3,0.01,0.01,1974.1,1311.3,885.2,682.7
census,165,8,4,0.01,0.01,1345.8,1106.9,1217.1,207.5
census,165,10,9,0.01,0.01,1212.4,719.3,1851.2,456.4
census,165,12,7,0.01,0.01,1173.2,670.7,1258.2,623.5
census,165,14,18,0.015,0.01,1265.5,374.5,867.8,372.3
census,165,16,23,0.01,0.01,744.2,582.1,873.3,526.6
census,165,18,21,0.01,0.01,1146.3,700.9,1553.3,852.0
census,165,20,32,0.01,0.01,1007.5,528.2,823.7,519.4
census,165,22,41,0.01,0.01,986.7,563.0,987.0,343.7
census,165,24,34,0.01,0.01,959.6,588.1,1206.4,660.5
census,165,26,33,0.01,0.01,1060.0,558.6,982.0,661.8
census,165,28,51,0.01,0.01,891.3,245.2,791.5,483.9
census,165,30,66,0.01,0.01,829.6,510.3,1192.6,549.6
